sku,discount_pct,list_price_thb,effective_price_thb,standard_contribution_per_cup_thb,promo_contribution_per_cup_thb,contribution_delta_per_cup_thb,required_demand_lift_pct,commission_rate_weighted
Guava,0.0,49.0,49.0,14.786255175467732,14.786255175467726,-5.329070518200751e-15,4.440892098500626e-16,0.2738093656592494
Guava,0.05,49.0,46.55,14.786255175467732,13.007088121332888,-1.7791670541348434,0.13678442381095546,0.2738093656592494
Guava,0.1,49.0,44.1,14.786255175467732,11.22792106719805,-3.5583341082696816,0.31691834017832754,0.2738093656592494
Guava,0.15,49.0,41.65,14.786255175467732,9.448754013063212,-5.33750116240452,0.5648894187556635,0.2738093656592494
Guava,0.2,49.0,39.2,14.786255175467732,7.669586958928374,-7.116668216539358,0.9279076245761386,0.2738093656592494
Guava,0.25,49.0,36.75,14.786255175467732,5.890419904793536,-8.895835270674196,1.5102209035106138,0.2738093656592494
MixedBerryPremium,0.0,89.0,89.0,11.665997602116754,11.66599760211676,7.105427357601002e-15,-5.551115123125783e-16,0.2720613527368943
MixedBerryPremium,0.05,89.0,84.55,11.665997602116754,8.426670621795935,-3.2393269803208184,0.3844136226165247,0.2720613527368943
MixedBerryPremium,0.1,89.0,80.10000000000001,11.665997602116754,5.187343641475124,-6.47865396064163,1.2489347936855202,0.2720613527368943
MixedBerryPremium,0.15,89.0,75.64999999999999,11.665997602116754,1.9480166611542913,-9.717980940962462,4.9886539138757175,0.2720613527368943
MixedBerryPremium,0.2,89.0,71.2,11.665997602116754,-1.29131031916652,-12.957307921283274,,0.2720613527368943
MixedBerryPremium,0.25,89.0,66.75,11.665997602116754,-4.5306372994873385,-16.196634901604092,,0.2720613527368943
PassionFruit,0.0,65.0,65.0,14.960230752285494,14.960230752285497,3.552713678800501e-15,-2.220446049250313e-16,0.2738379777508536
PassionFruit,0.05,65.0,61.75,14.960230752285494,12.60020417997577,-2.3600265723097245,0.18730066105280074,0.2738379777508536
PassionFruit,0.1,65.0,58.5,14.960230752285494,10.240177607666041,-4.7200531446194525,0.4609346952230504,0.2738379777508536
PassionFruit,0.15,65.0,55.25,14.960230752285494,7.88015103535632,-7.080079716929173,0.8984700528153049,0.2738379777508536
PassionFruit,0.2,65.0,52.0,14.960230752285494,5.520124463046592,-9.440106289238901,1.7101256235133593,0.2738379777508536
PassionFruit,0.25,65.0,48.75,14.960230752285494,3.160097890736864,-11.80013286154863,3.734103584619368,0.2738379777508536
Pineapple,0.0,49.0,49.0,15.241977047006474,15.241977047006479,5.329070518200751e-15,-3.3306690738754696e-16,0.2731273624563394
Pineapple,0.05,49.0,46.55,15.241977047006474,13.461139085024506,-1.7808379619819679,0.13229474494941873,0.2731273624563394
Pineapple,0.1,49.0,44.1,15.241977047006474,11.68030112304254,-3.561675923963934,0.3049301457594762,0.2731273624563394
Pineapple,0.15,49.0,41.65,15.241977047006474,9.89946316106057,-5.342513885945904,0.5396771318833351,0.2731273624563394
Pineapple,0.2,49.0,39.2,15.241977047006474,8.118625199078604,-7.12335184792787,0.8774086342520542,0.2731273624563394
Pineapple,0.25,49.0,36.75,15.241977047006474,6.337787237096634,-8.90418980990984,1.4049366879644394,0.2731273624563394
Watermelon,0.0,45.0,45.0,14.00185850726131,14.001858507261314,3.552713678800501e-15,-2.220446049250313e-16,0.2731761705194967
Watermelon,0.05,45.0,42.75,14.00185850726131,12.36650489093018,-1.6353536163311304,0.13224056681775376,0.2731761705194967
Watermelon,0.1,45.0,40.5,14.00185850726131,10.731151274599046,-3.2707072326622644,0.30478623858412335,0.2731761705194967
Watermelon,0.15,45.0,38.25,14.00185850726131,9.095797658267912,-4.906060848993398,0.5393766476911324,0.2731761705194967
Watermelon,0.2,45.0,36.0,14.00185850726131,7.460444041936782,-6.541414465324529,0.8768130192457464,0.2731761705194967
Watermelon,0.25,45.0,33.75,14.00185850726131,5.825090425605648,-8.176768081655663,1.4037152188595434,0.2731761705194967
