base_code,daypart,matched_strata,promo_rows,promo_units,promo_active_hours,baseline_units,incremental_units,promo_contribution_thb,baseline_contribution_thb,incremental_contribution_thb,promo_discount_cost_thb,promo_cups_per_active_hour,baseline_cups_per_active_hour,actual_demand_lift_pct,promo_contribution_per_cup_thb,baseline_contribution_per_cup_thb,break_even_lift_pct,contribution_lift_pct,actual_vs_breakeven_gap_pct,promo_roi_on_discount,decision
RC101,Afternoon,299,299,2208,299,1592.8333333333333,615.1666666666666,17360.323,21745.056666666667,-4384.733666666666,17665.2,7.384615384615385,5.327201783723523,0.38620906142094813,7.862465126811594,13.651809145129226,0.7363268294285383,-0.20164277950068954,-0.3501177680075902,-0.24821307806685833,OPTIMIZE / TARGET ONLY
RC101,Dinner,396,396,2901,396,2187.0833333333335,713.9166666666666,23453.894,29492.313333333335,-6038.419333333332,22849.95,7.325757575757576,5.522937710437711,0.3264240807772909,8.084761806273699,13.484768908363497,0.667924081313001,-0.20474553030428044,-0.34150000053571006,-0.2642640064128513,OPTIMIZE / TARGET ONLY
RC101,Late Evening,205,205,1938,205,1400.9166666666667,537.0833333333334,15428.039,19155.135833333334,-3727.096833333334,15335.1,9.453658536585365,6.833739837398374,0.38337992980786373,7.9608044375645,13.673287133424543,0.7175760616483251,-0.19457428366796148,-0.3341961318404614,-0.24304352976722252,OPTIMIZE / TARGET ONLY
RC101,Late Night,196,196,512,196,429.0,83.0,4394.386,5980.015833333334,-1585.6298333333332,3816.0,2.6122448979591835,2.188775510204082,0.19347319347319347,8.58278515625,13.939430846930849,0.6241150853904491,-0.2651547884697629,-0.43064189191725566,-0.4155214447938504,OPTIMIZE / TARGET ONLY
RC101,Lunch,396,396,3374,396,2471.5,902.5,26598.33,33778.91166666667,-7180.581666666666,26858.7,8.52020202020202,6.241161616161616,0.36516285656483927,7.883322465915827,13.66737271562479,0.7337071741916894,-0.21257587389212806,-0.36854431762685014,-0.2673465829197491,OPTIMIZE / TARGET ONLY
RC101,Morning,353,353,1485,353,1033.6666666666667,451.3333333333333,11980.084,14036.529166666667,-2056.445166666666,11568.15,4.206798866855524,2.9282341831916905,0.43663334408255383,8.067396632996633,13.579357465333763,0.6832391021649462,-0.14650667143201057,-0.24660575808239238,-0.17776785109690538,OPTIMIZE / TARGET ONLY
RC102,Afternoon,527,527,5239,527,2923.9166666666665,2315.0833333333335,36446.466,42023.652500000004,-5577.1865,53775.799999999996,9.941176470588236,5.548228969006957,0.7917747313819934,6.956760068715404,14.372383788867674,1.065959390133401,-0.13271541544371956,-0.27418465875140763,-0.10371182762506556,OPTIMIZE / TARGET ONLY
RC102,Dinner,705,705,6846,705,3948.25,2897.75,47076.07000000001,56802.86583333334,-9726.795833333332,70324.4,9.71063829787234,5.600354609929078,0.7339327550180459,6.876434414256501,14.386846282108108,1.0921956664460755,-0.17123776574711846,-0.3582629114280296,-0.13831324310386342,OPTIMIZE / TARGET ONLY
RC102,Late Evening,361,361,4522,361,2587.8333333333335,1934.1666666666667,30880.254,37009.64833333334,-6129.394333333333,46345.2,12.526315789473685,7.168513388734996,0.7474077413537707,6.828892967713402,14.301403361885749,1.0942491600764472,-0.16561611929213604,-0.3468414187226765,-0.13225521377258773,OPTIMIZE / TARGET ONLY
RC102,Late Night,363,363,1288,363,785.75,502.25,8962.044000000002,11207.445833333333,-2245.4018333333324,13123.999999999998,3.5482093663911844,2.1646005509641872,0.6391982182628062,6.958108695652175,14.263373634531764,1.0498923282765524,-0.20034911314539017,-0.4106941100137462,-0.1710912704460022,OPTIMIZE / TARGET ONLY
RC102,Lunch,693,693,7492,693,4559.75,2932.25,52536.452000000005,65780.56416666666,-13244.112166666664,76733.59999999999,10.81096681096681,6.57972582972583,0.6430725368715391,7.01234009610251,14.426353235740264,1.0572808845592778,-0.20133777103386286,-0.41420834768773873,-0.1725986030456888,OPTIMIZE / TARGET ONLY
RC102,Morning,612,612,3214,612,1915.75,1298.25,22159.062,27360.298333333336,-5201.236333333332,33049.2,5.251633986928105,3.13031045751634,0.6776719300535039,6.894543248288738,14.281768671973554,1.0714597265770092,-0.19010159428695317,-0.39378779652350526,-0.15737858505904326,OPTIMIZE / TARGET ONLY
RC103,Afternoon,521,563,3039,563,2658.0,381.0,27515.2824,35425.318333333336,-7910.035933333334,18581.640000000003,5.397868561278863,4.721136767317939,0.14334085778781036,9.054058045409674,13.327809756709307,0.47202610032596226,-0.2232876458273182,-0.3286852425381519,-0.42569094726479106,OPTIMIZE / TARGET ONLY
RC103,Dinner,675,730,4083,730,3525.75,557.25,37652.2132,47488.39,-9836.176800000001,24627.24,5.593150684931507,4.829794520547945,0.15805147840884914,9.221702963507225,13.469017939445507,0.46057815923436896,-0.20712803276758807,-0.3025266808255198,-0.3994023203574579,OPTIMIZE / TARGET ONLY
