base_code,hour,matched_strata,promo_rows,promo_units,promo_active_hours,baseline_units,incremental_units,promo_contribution_thb,baseline_contribution_thb,incremental_contribution_thb,promo_discount_cost_thb,promo_cups_per_active_hour,baseline_cups_per_active_hour,actual_demand_lift_pct,promo_contribution_per_cup_thb,baseline_contribution_per_cup_thb,break_even_lift_pct,contribution_lift_pct,actual_vs_breakeven_gap_pct,promo_roi_on_discount,decision
RC101,0,64,64,227,64,192.0,35.0,1917.2020000000002,2650.8775,-733.6754999999998,1703.25,3.546875,3.0,0.18229166666666674,8.445823788546257,13.806653645833334,0.6347314355003628,-0.2767670328032886,-0.4524397688336961,-0.43075033025099063,OPTIMIZE / TARGET ONLY
RC101,23,98,98,828,98,629.6666666666666,198.33333333333334,6678.241,8637.009166666667,-1958.7681666666667,6459.0,8.448979591836734,6.42517006802721,0.3149814716781367,8.065508454106281,13.71679592376919,0.7006734295574073,-0.2267877836955713,-0.3856919578792706,-0.3032618310367962,OPTIMIZE / TARGET ONLY
RC101,22,107,107,1110,107,771.25,338.75,8749.798,10518.126666666667,-1768.328666666667,8876.1,10.373831775700934,7.207943925233645,0.4392220421393842,7.882700900900901,13.637765532144787,0.730087910678705,-0.16812201665822613,-0.29086586853932084,-0.19922360796596106,OPTIMIZE / TARGET ONLY
RC101,21,101,101,981,101,764.1666666666666,216.83333333333334,8039.594,10378.633333333333,-2339.039333333333,7704.15,9.712871287128714,7.5660066006600655,0.2837513631406763,8.195304791029562,13.581635768811342,0.6572459615751649,-0.22537064931477813,-0.3734945984344886,-0.30360770926492,OPTIMIZE / TARGET ONLY
RC101,20,97,97,648,97,461.4166666666667,186.58333333333334,5202.472000000001,6230.295,-1027.8229999999996,5125.2,6.680412371134021,4.756872852233677,0.40437059779664075,8.028506172839506,13.502535669134911,0.6818241623596286,-0.16497180310081616,-0.27745356456298786,-0.20054300319987506,OPTIMIZE / TARGET ONLY
RC101,19,93,93,602,93,437.1666666666667,164.83333333333334,4818.476000000001,5889.8341666666665,-1071.3581666666662,4686.9,6.473118279569892,4.700716845878136,0.3770491803278688,8.004112956810632,13.472743042317955,0.6832275000384787,-0.1818995469736625,-0.3061783197106098,-0.22858566785437417,OPTIMIZE / TARGET ONLY
RC101,18,105,105,670,105,524.3333333333334,145.66666666666666,5393.352000000001,6993.550833333334,-1600.1988333333331,5333.7,6.380952380952381,4.993650793650794,0.2778130959949141,8.049779104477613,13.337986331849969,0.6569381791397033,-0.22881063875396623,-0.3791250831447892,-0.3000166551049615,OPTIMIZE / TARGET ONLY
RC101,16,100,100,701,100,536.0833333333334,164.91666666666666,5457.774,7313.135833333334,-1855.3618333333332,5703.75,7.01,5.360833333333334,0.30763251981967965,7.78569757489301,13.641789211876263,0.7521601732730707,-0.2537026353150148,-0.44452765345339107,-0.3252880707137117,OPTIMIZE / TARGET ONLY
RC101,15,97,97,664,97,460.0,204.0,5203.767,6338.516666666667,-1134.7496666666666,5262.0,6.845360824742268,4.742268041237113,0.4434782608695653,7.836998493975903,13.779384057971017,0.7582476337800588,-0.17902448259450832,-0.31476937291049345,-0.2156498796401875,OPTIMIZE / TARGET ONLY
RC101,14,86,86,472,86,370.75,101.25,3823.202,5080.884166666667,-1257.6821666666667,3676.8,5.488372093023256,4.311046511627907,0.2730950775455159,8.100004237288136,13.704340301191278,0.6918929792781765,-0.24753214704592919,-0.4187979017326606,-0.34205890085581664,OPTIMIZE / TARGET ONLY
RC101,13,105,105,904,105,649.1666666666666,254.83333333333334,7073.866,8806.949166666667,-1733.0831666666666,7215.599999999999,8.60952380952381,6.182539682539682,0.3925545571245186,7.825073008849557,13.566545571245188,0.7337276669370965,-0.19678587146002802,-0.34117310981257787,-0.24018559325165845,OPTIMIZE / TARGET ONLY
