month,sku,units_sold,gross_revenue_thb,sold_fruit_cost_thb,sold_packaging_cost_thb,sold_labor_cost_thb,commission_thb,product_margin_thb,contribution_before_waste_thb,units_wasted,waste_cost_thb,contribution_after_waste_thb,realized_price_thb,revenue_per_cup_thb,fruit_cost_per_cup_thb,packaging_cost_per_cup_thb,labor_cost_per_cup_thb,commission_per_cup_thb,contribution_before_waste_per_cup_thb,contribution_after_waste_per_cup_thb,product_margin_pct,contribution_margin_pct,contribution_after_waste_margin_pct,waste_cost_pct_revenue,waste_rate
2025-09-01,Guava,6853,328231.4,63226.71,41118,37691.5,89288.1528,186195.19,96907.0372,369.0,5621.15,91285.88720000001,47.89601634320736,47.89601634320736,9.226135998832628,6.0,5.5,13.029060674157304,14.140819670217423,13.320573062892166,0.5672680614956399,0.2952399959297008,0.2781144253718566,0.01712557055784425,0.05109387981168651
2025-09-01,PassionFruit,5420,344084.0,102343.72,32520,32520.0,94944.408,176700.28,81755.87199999999,537.0,13350.38,68405.49199999998,63.48413284132841,63.48413284132841,18.88260516605166,6.0,6.0,17.5174184501845,15.084109225092249,12.620939483394832,0.513538205786959,0.23760439892584365,0.19880462910219593,0.03879976982364771,0.09014604666778579
2025-09-01,Pineapple,10954,520365.79,112515.41,65724,54770.0,140907.585,287356.38,146448.79499999998,506.0,8232.27,138216.525,47.504636662406426,47.504636662406426,10.271627715902866,6.0,5.0,12.863573580427241,13.369435366076317,12.617904418477268,0.5522199681881471,0.28143432526569434,0.2656141653739382,0.015820159891756145,0.04415357766143106
2025-09-01,Watermelon,16513,720679.95,130865.38,99078,82565.0,193998.807,408171.57,214172.763,535.0,7451.86,206720.90300000002,43.64318718585357,43.64318718585357,7.924991219039545,6.0,5.0,11.748247259734754,12.969948707079272,12.51867637618846,0.5663700925771559,0.29718152003535,0.28684147935571125,0.010340040679638722,0.03138198029094322
2025-10-01,Guava,7185,341323.71,67334.76,43110,39517.5,93617.97899999999,191361.45,97743.471,401.0,6159.24,91584.231,47.50503966597078,47.50503966597078,9.371574112734864,6.0,5.5,13.029642171189979,13.60382338204593,12.746587473903967,0.5606450545143787,0.28636589881201047,0.26832074162090874,0.018045157191101665,0.052860532559978905
2025-10-01,PassionFruit,5539,351066.3,103175.48,33234,33234.0,96635.21399999999,181422.82,84787.606,529.0,13061.16,71726.446,63.38080881025456,63.38080881025456,18.62709514352771,6.0,6.0,17.446328579165915,15.307385087560931,12.949349341036287,0.5167765177118966,0.24151451164637563,0.20431025706540332,0.03720425458097231,0.08717864205669083
2025-10-01,Pineapple,11334,544190.08,109873.29000000001,68004,56670.0,145854.9288,309642.79,163787.86119999998,524.0,8223.550000000001,155564.3112,48.013947414857945,48.013947414857945,9.694131815775544,6.0,5.0,12.868795553202752,14.451020045879654,13.72545537321334,0.5689974907297097,0.30097546283827886,0.2858639231350928,0.015111539703186067,0.044189576657109125
2025-10-01,Watermelon,16548,730634.4,132840.66,99288,82740.0,201672.504,415765.74,214093.236,582.0,8165.599999999999,205927.636,44.152429296591734,44.152429296591734,8.027596084118928,6.0,5.0,12.187122552574328,12.937710659898478,12.444261300459269,0.5690475838531556,0.29302375579359524,0.2818477148078437,0.01117604098575156,0.033975481611208405
2025-11-01,Guava,7690,373360.4,67700.56,46140,42295.0,102164.412,217224.84,115060.428,454.0,6723.09,108337.338,48.55141742522757,48.55141742522757,8.803713914174251,6.0,5.5,13.285359167750325,14.962344343302991,14.088080364109233,0.5818100687700142,0.3081752322956585,0.2901682610153621,0.018006971280296463,0.05574656188605108
2025-11-01,PassionFruit,6514,418223.0,116803.17,39084,39084.0,115475.1,223251.83000000002,107776.73,624.0,14934.02,92842.70999999999,64.2037150752226,64.2037150752226,17.93109763586122,6.0,6.0,17.727218299048204,16.545399140313172,14.25279551734725,0.5338105030091602,0.2577015850395602,0.22199331457141283,0.035708270468147375,0.08741944522275147
