kitchen,sku,units_sold,gross_revenue_thb,units_wasted,waste_cost_thb,waste_rate,waste_cost_pct_revenue,waste_cost_per_wasted_cup_thb,target_waste_units_at_company_rate,waste_recovery_to_company_avg_thb
Pattaya_Central,MixedBerryPremium,9194,799696.15,2075.0,95980.31,0.18413346348389387,0.12002097296579456,46.25557108433735,545.1790048259004,70762.74378858726
BKK_Ladprao,MixedBerryPremium,4163,361628.36,1755.0,80899.5,0.29655288948969244,0.2237089480482117,46.0965811965812,246.85449174355267,69520.35187760254
Pattaya_Beach,MixedBerryPremium,7784,677538.31,1791.0,82902.37,0.18704960835509138,0.12235820288892592,46.28831379117811,461.56986878016187,61537.07907735096
BKK_Sukhumvit,MixedBerryPremium,6903,600264.06,1630.0,75154.64,0.19102308683932967,0.1252026316551419,46.10714110429448,409.32898306647706,56281.65081967658
BKK_Ladprao,PassionFruit,11883,758621.5,1709.0,45158.99,0.1257357268981754,0.05952769595905204,26.424218841427734,704.6293359088725,26539.710225854058
Pattaya_Central,PassionFruit,26821,1711054.15,2368.0,62387.42,0.08112645174552058,0.03646139428141418,26.346038851351352,1590.411799916845,20486.36892974317
Pattaya_Beach,PassionFruit,22655,1446184.35,2013.0,53397.909999999996,0.08160369709745419,0.03692330787565223,26.52653253849975,1343.3794163944717,17762.71219946124
BKK_Sukhumvit,PassionFruit,20057,1280316.7,1753.0,46488.0,0.08037597432370472,0.036309766169573515,26.51911009697661,1189.3251359357282,14948.15577901875
BKK_Ladprao,Guava,15141,727969.48,1294.0,19787.49,0.07873440827502282,0.02718175767478604,15.291723338485317,897.8198077081746,6058.277892714508
BKK_Ladprao,Pineapple,23933,1153733.91,1673.0,25793.33,0.06533624931656642,0.022356394118640408,15.417411835026899,1419.1613141720984,3913.535559070766
BKK_Ladprao,Watermelon,36306,1601789.85,1805.0,24759.34,0.047361654115609664,0.015457296099110628,13.717085872576178,2152.846307288355,0.0
BKK_Sukhumvit,Guava,25045,1204850.22,1320.0,20199.37,0.050066375877109805,0.016765046530015988,15.302553030303029,1485.0998668549787,0.0
Pattaya_Beach,Guava,28132,1353277.59,1478.0,22618.56,0.049915569064505234,0.01671391011507107,15.303491204330177,1668.1505072614996,0.0
BKK_Sukhumvit,Watermelon,60657,2678107.05,1918.0,26326.25,0.030651218537754696,0.009830170903735906,13.725886339937436,3596.793875976141,0.0
BKK_Sukhumvit,Pineapple,40239,1939119.14,1633.0,25122.25,0.03899980894153611,0.012955495864993628,15.38410900183711,2386.0624293223195,0.0
Pattaya_Beach,Pineapple,44942,2165443.28,1862.0,28664.04,0.039782924536364415,0.013237031080306109,15.39422126745435,2664.9374412536017,0.0
Pattaya_Central,Guava,33186,1596940.87,1752.0,26823.69,0.05014597286622016,0.01679692122852363,15.310325342465752,1967.8388573148063,0.0
Pattaya_Beach,Watermelon,67926,2997063.9,2085.0,28627.62,0.029781034408878606,0.009551888433209582,13.730273381294964,4027.8256560587456,0.0
Pattaya_Central,Pineapple,53054,2557599.1,2265.0,34863.18,0.04094434100399501,0.013631213742607276,15.392132450331125,3145.956811184829,0.0
Pattaya_Central,Watermelon,80102,3535734.6,2474.0,33896.41,0.029960279015694632,0.009586808353771802,13.70105497170574,4749.8290890324415,0.0
