month,units_sold,gross_revenue_thb,sold_fruit_cost_thb,sold_packaging_cost_thb,sold_labor_cost_thb,commission_thb,product_margin_thb,contribution_before_waste_thb,units_wasted,waste_cost_thb,fixed_monthly_overhead_thb,modeled_operating_result_thb,contribution_after_waste_thb,revenue_per_cup_thb,realized_price_thb,fruit_cost_per_cup_thb,packaging_cost_per_cup_thb,labor_cost_per_cup_thb,commission_per_cup_thb,contribution_before_waste_per_cup_thb,contribution_after_waste_per_cup_thb,product_margin_pct,contribution_margin_pct,contribution_after_waste_margin_pct,operating_margin_pct,waste_cost_pct_revenue,waste_rate,budget_revenue_thb,budget_gross_profit_thb,revenue_variance_thb,revenue_variance_pct,budget_gp_target_to_revenue_pct,budget_gp_comparable,budget_gp_note,product_margin_thb_vs_budget_gp_thb,contribution_before_waste_thb_vs_budget_gp_thb,contribution_after_waste_thb_vs_budget_gp_thb,modeled_operating_result_thb_vs_budget_gp_thb,budget_gp_boundary_status
2025-09-01,39740,1913361.1400000001,408951.22,238440,207546.5,519138.95279999997,1058423.42,539284.4672,1947.0,34655.66,670000.0,-165371.1928,504628.8071999999,48.14698389531958,48.14698389531958,10.290669854051332,6.0,5.222609461499748,13.063385827881227,13.570318751887266,12.698258862606943,0.5531749327782417,0.28185189712800374,0.26373944607237076,-0.0864296809121983,0.018112451055632917,0.04670520785856502,2700000,700000,-786638.8599999999,-0.2913477259259259,0.25925925925925924,False,Diagnostic only: monthly_budget does not define which cost lines are included in gross profit.,358423.4199999999,-160715.53280000004,-195371.19280000008,-865371.1928,OPEN: source does not define comparable cost boundary
2025-10-01,40606,1967214.49,413224.19,243636,212161.5,537780.6258,1098192.8,560412.1742,2036.0,35609.55,670000.0,-145197.37579999998,524802.6242,48.44639930059597,48.44639930059597,10.176431808107177,6.0,5.224880559523223,13.243870999359702,13.80121593360587,12.924263020243313,0.5582476164050622,0.2848759893996104,0.26677448080407334,-0.07380861443329445,0.018101508595537035,0.04774635336053656,2700000,700000,-732785.51,-0.27140204074074076,0.25925925925925924,False,Diagnostic only: monthly_budget does not define which cost lines are included in gross profit.,398192.80000000005,-139587.8258,-175197.37580000004,-845197.3758,OPEN: source does not define comparable cost boundary
2025-11-01,46072,2254716.05,466108.19,276432,240719.0,614801.301,1271456.86,656655.559,2332.0,40451.47,670000.0,-53795.910999999964,616204.089,48.93896618336516,48.93896618336516,10.116951510678938,6.0,5.224843722868553,13.344358851363083,14.252812098454593,13.374806585344679,0.5639099699494312,0.29123647698343214,0.2732956502438523,-0.023859284187913582,0.017940826739579915,0.04817783654243451,2700000,700000,-445283.9500000002,-0.16491998148148154,0.25925925925925924,False,Diagnostic only: monthly_budget does not define which cost lines are included in gross profit.,571456.8600000001,-43344.44099999999,-83795.91099999996,-753795.911,OPEN: source does not define comparable cost boundary
2025-12-01,49627,2425157.05,506152.57000000007,297762,259325.0,665046.039,1361917.48,696871.4410000001,2481.0,43143.43,670000.0,-16271.988999999972,653728.011,48.86769399721925,48.86769399721925,10.19913696173454,6.0,5.225482096439438,13.40089143006831,14.04218350897697,13.172829528280976,0.5615790861874286,0.28735105670785327,0.2695611036819245,-0.006709664019491015,0.017789953025928777,0.0476126506486528,2700000,700000,-274842.9500000002,-0.10179368518518525,0.25925925925925924,False,Diagnostic only: monthly_budget does not define which cost lines are included in gross profit.,661917.48,-3128.558999999892,-46271.98899999994,-716271.989,OPEN: source does not define comparable cost boundary
2026-01-01,50150,2458094.35,503952.44,300900,262180.0,673649.3489999999,1391061.9100000001,717412.561,2557.0,44497.08,670000.0,2915.4810000000143,672915.481,49.01484247258225,49.01484247258225,10.048902093718844,6.0,5.227916251246262,13.432688913260218,14.305335214356928,13.418055453639083,0.5659107063974173,0.291857210851162,0.27375494394672034,0.0011860736753249582,0.018102266904441645,0.04851348018289791,2700000,700000,-241905.6499999999,-0.08959468518518515,0.25925925925925924,False,Diagnostic only: monthly_budget does not define which cost lines are included in gross profit.,691061.9100000001,17412.560999999987,-27084.51899999997,-697084.519,OPEN: source does not define comparable cost boundary
2026-02-01,47786,2325427.4,483200.95,286716,249646.0,636946.272,1305864.45,668918.1780000001,2439.0,42605.57,670000.0,-43687.39199999996,626312.6080000001,48.66336165404093,48.66336165404093,10.1117680910727,6.0,5.224249780270372,13.32913974804336,13.998204034654503,13.106612982882018,0.5615588988071613,0.28765386440359314,0.2693322560833334,-0.018786822585817972,0.018321608320259752,0.04856147336983574,2700000,700000,-374572.6000000001,-0.13873059259259263,0.25925925925925924,False,Diagnostic only: monthly_budget does not define which cost lines are included in gross profit.,605864.45,-31081.821999999927,-73687.39199999988,-743687.392,OPEN: source does not define comparable cost boundary
2026-03-01,67061,3583286.8499999996,854779.0,417910,364147.0,978569.778,1946450.85,967881.0719999999,4991.0,136665.78,670000.0,161215.29200000002,831215.2919999999,53.43324510520272,53.43324510520272,12.746290690565306,6.2317889682527845,5.430086041067089,14.592233608207454,14.432845797110092,12.394913466843619,0.5432026325215913,0.27010984956451367,0.23197006736985068,0.04499089767262145,0.038139782194662984,0.0692694165325043,2700000,700000,883286.8499999996,0.32714327777777763,0.25925925925925924,False,Diagnostic only: monthly_budget does not define which cost lines are included in gross profit.,1246450.85,267881.0719999999,131215.2919999999,-538784.708,OPEN: source does not define comparable cost boundary
2026-04-01,77416,4029174.75,885610.9299999999,477484,415886.0,1109731.905,2250193.8200000003,1140461.915,5165.0,132582.14,670000.0,337879.7750000001,1007879.775,52.04576250387517,52.04576250387517,11.439636896765526,6.167768936653921,5.372093624057042,14.33465827477524,14.731604771623438,13.019011250904207,0.5584751120561351,0.2830509932586071,0.2501454609284445,0.08385830746109985,0.03290553233016265,0.0625446531284436,2700000,700000,1329174.75,0.49228694444444443,0.25925925925925924,False,Diagnostic only: monthly_budget does not define which cost lines are included in gross profit.,1550193.8200000003,440461.91500000004,307879.775,-362120.2249999999,OPEN: source does not define comparable cost boundary
2026-05-01,67385,3479104.1,768563.42,414720,361072.0,950221.74,1934748.68,984526.9400000001,4375.0,111059.39,670000.0,203467.55000000008,873467.55,51.630245603620985,51.630245603620985,11.405556429472435,6.15448541960377,5.358343845069378,14.101383690732359,14.610476218743045,12.962343993470357,0.5561054295558445,0.28298289206120625,0.25106105620697006,0.05848274272678419,0.03192183585423615,0.060967112597547383,2700000,700000,779104.1000000001,0.2885570740740741,0.25925925925925924,False,Diagnostic only: monthly_budget does not define which cost lines are included in gross profit.,1234748.68,284526.94000000006,173467.55000000005,-496532.44999999995,OPEN: source does not define comparable cost boundary
2026-06-01,45183,2302538.53,602694.6,277668,241775.5,630960.9234,1180400.43,549439.5066,2977.0,83793.15,670000.0,-204353.6434,465646.35659999994,50.96028439899962,50.96028439899962,13.33896819600292,6.145408671402961,5.351028041520041,13.964564623862957,12.160314866210742,10.30578661443463,0.512651760055455,0.23862337131009922,0.20223173273022274,-0.0887514544219158,0.03639163857987645,0.061814784053156144,2700000,700000,-397461.4700000002,-0.14720795185185193,0.25925925925925924,False,Diagnostic only: monthly_budget does not define which cost lines are included in gross profit.,480400.42999999993,-150560.49340000004,-234353.64340000006,-904353.6434,OPEN: source does not define comparable cost boundary
