month,kitchen,sku,baseline_units,target_sales,target_prep,expected_waste,waste_rate_target,target_price,contribution_thb,days,daily_sales_target,daily_prep_if_demand_confirmed,extra_sales_vs_base,contribution_per_cup,basis
2026-09-01,BKK_Ladprao,Guava,1050.0055853860908,1050.0055853860908,1103.4778653488577,53.47227996276686,0.04845795429332142,49.15394840146955,13784.48357949521,30,35.000186179536364,36.78259551162859,0.0,13.128009766182917,conditional target; do not pre-produce unconfirmed growth; no purchase quantity
2026-09-01,BKK_Ladprao,MixedBerryPremium,343.7944735043751,171.89723675218755,209.93303545679692,38.03579870460937,0.18118062563067605,87.7661065487471,-2193.461219048195,30,5.729907891739585,6.9977678485598975,-171.89723675218755,-12.760305287573397,conditional target; do not pre-produce unconfirmed growth; no purchase quantity
2026-09-01,BKK_Ladprao,PassionFruit,739.4204160056296,739.4204160056296,803.8111634081517,64.3907474025221,0.08010680907877164,64.04189301416707,2560.0895281956273,30,24.647347200187653,26.793705446938393,0.0,3.4622921855813837,conditional target; do not pre-produce unconfirmed growth; no purchase quantity
2026-09-01,BKK_Ladprao,Pineapple,1567.4501555035495,1567.4501555035495,1629.3831436320936,61.93298812854408,0.03801008275468461,49.10338426978846,21416.105967508673,30,52.24833851678498,54.31277145440312,0.0,13.663022005716453,conditional target; do not pre-produce unconfirmed growth; no purchase quantity
2026-09-01,BKK_Ladprao,Watermelon,2465.4040239524234,2465.4040239524234,2539.3637511523166,73.95972719989302,0.029125298479326298,45.17292796610169,33745.55059319512,30,82.18013413174745,84.64545837174389,0.0,13.687635075364154,conditional target; do not pre-produce unconfirmed growth; no purchase quantity
2026-09-01,BKK_Sukhumvit,Guava,1616.666837079555,1616.666837079555,1698.9967436267207,82.32990654716552,0.04845795429332142,49.15394840146955,21223.61802584444,30,53.8888945693185,56.63322478755735,0.0,13.128009766182913,conditional target; do not pre-produce unconfirmed growth; no purchase quantity
2026-09-01,BKK_Sukhumvit,MixedBerryPremium,579.2095584983318,289.6047792491659,353.6857923913038,64.08101314213783,0.18118062563067605,87.7661065487471,-3695.445395959661,30,9.653492641638865,11.78952641304346,-289.6047792491659,-12.760305287573406,conditional target; do not pre-produce unconfirmed growth; no purchase quantity
2026-09-01,BKK_Sukhumvit,PassionFruit,1264.0006875661932,1264.0006875661932,1374.0733163818268,110.07262881563356,0.08010680907877164,64.04189301416707,4376.339703129923,30,42.13335625220644,45.802443879394225,0.0,3.4622921855813806,conditional target; do not pre-produce unconfirmed growth; no purchase quantity
2026-09-01,BKK_Sukhumvit,Pineapple,2715.0243760825992,2715.0243760825992,2822.3002418332476,107.2758657506482,0.03801008275468461,49.10338426978846,37095.437796473154,30,90.50081253608664,94.07667472777491,0.0,13.66302200571646,conditional target; do not pre-produce unconfirmed growth; no purchase quantity
2026-09-01,BKK_Sukhumvit,Watermelon,4056.2806858242056,4056.2806858242056,4177.965168389787,121.68448256558179,0.029125298479326298,45.17292796610169,55520.88979080957,30,135.20935619414018,139.2655056129929,0.0,13.687635075364154,conditional target; do not pre-produce unconfirmed growth; no purchase quantity
2026-09-01,Pattaya_Beach,Guava,1788.8541769432766,1788.8541769432766,1879.9528460297875,91.098669086511,0.04845795429332142,49.15394840146955,23484.09510518843,30,59.62847256477588,62.66509486765958,0.0,13.128009766182911,conditional target; do not pre-produce unconfirmed growth; no purchase quantity
2026-09-01,Pattaya_Beach,MixedBerryPremium,675.9546129191294,337.9773064595647,412.7617360298584,74.78442957029371,0.18118062563067605,87.7661065487471,-4312.693610695799,30,11.265910215318824,13.758724534328614,-337.9773064595647,-12.7603052875734,conditional target; do not pre-produce unconfirmed growth; no purchase quantity
