date,month,kitchen,sku,forecast_units_base,forecast_lower_units,forecast_upper_units,planning_error_pct,waste_rate_base,prep_target_cups_lower,prep_target_cups_base,prep_target_cups_upper,expected_waste_units_base,usable_on_hand_cups,usable_inbound_cups,lead_time_days,review_period_days,safety_stock_cups,order_qty_cups,order_qty_status
2026-09-01,2026-09-01,BKK_Ladprao,Guava,37.000093089768185,28.527134518356856,45.47305166117951,0.22899830416249398,0.0760176557135851,30.874112145928677,40.04415595012597,49.21419975432326,3.0440628603577835,,,,,,,"not calculable: missing on-hand, inbound, lead time, shelf life, BOM/yield"
2026-09-02,2026-09-01,BKK_Ladprao,Guava,34.000093089768185,26.21412943084434,41.786056748692026,0.22899830416249398,0.0760176557135851,28.37081205387028,36.79734066350177,45.223869273133246,2.7972475737335856,,,,,,,"not calculable: missing on-hand, inbound, lead time, shelf life, BOM/yield"
2026-09-03,2026-09-01,BKK_Ladprao,Guava,37.500093089768185,28.912635366275612,46.087550813260755,0.22899830416249398,0.0760176557135851,31.291328827938415,40.58529183123001,49.87925483452159,3.0851987414618236,,,,,,,"not calculable: missing on-hand, inbound, lead time, shelf life, BOM/yield"
2026-09-04,2026-09-01,BKK_Ladprao,Guava,38.500093089768185,29.683637062113117,47.31654911742325,0.22899830416249398,0.0760176557135851,32.12576219195788,41.667563593438075,51.20936499491826,3.1674705036698896,,,,,,,"not calculable: missing on-hand, inbound, lead time, shelf life, BOM/yield"
2026-09-05,2026-09-01,BKK_Ladprao,Guava,36.500093089768185,28.141633670438104,44.85855250909826,0.22899830416249398,0.0760176557135851,30.456895463918947,39.503020069021936,48.549144674124925,3.0029269792537505,,,,,,,"not calculable: missing on-hand, inbound, lead time, shelf life, BOM/yield"
2026-09-06,2026-09-01,BKK_Ladprao,Guava,44.000093089768185,33.9241463892194,54.07603979031697,0.22899830416249398,0.0760176557135851,36.71514569406495,47.620058285582445,58.524970877099946,3.6199651958142596,,,,,,,"not calculable: missing on-hand, inbound, lead time, shelf life, BOM/yield"
2026-09-07,2026-09-01,BKK_Ladprao,Guava,27.500093089768182,21.202618407900548,33.79756777163581,0.22899830416249398,0.0760176557135851,22.946995187743745,29.76257420914932,36.578153230554896,2.262481119381139,,,,,,,"not calculable: missing on-hand, inbound, lead time, shelf life, BOM/yield"
2026-09-08,2026-09-01,BKK_Ladprao,Guava,37.000093089768185,28.527134518356856,45.47305166117951,0.22899830416249398,0.0760176557135851,30.874112145928677,40.04415595012597,49.21419975432326,3.0440628603577835,,,,,,,"not calculable: missing on-hand, inbound, lead time, shelf life, BOM/yield"
2026-09-09,2026-09-01,BKK_Ladprao,Guava,34.000093089768185,26.21412943084434,41.786056748692026,0.22899830416249398,0.0760176557135851,28.37081205387028,36.79734066350177,45.223869273133246,2.7972475737335856,,,,,,,"not calculable: missing on-hand, inbound, lead time, shelf life, BOM/yield"
2026-09-10,2026-09-01,BKK_Ladprao,Guava,37.500093089768185,28.912635366275612,46.087550813260755,0.22899830416249398,0.0760176557135851,31.291328827938415,40.58529183123001,49.87925483452159,3.0851987414618236,,,,,,,"not calculable: missing on-hand, inbound, lead time, shelf life, BOM/yield"
2026-09-11,2026-09-01,BKK_Ladprao,Guava,38.500093089768185,29.683637062113117,47.31654911742325,0.22899830416249398,0.0760176557135851,32.12576219195788,41.667563593438075,51.20936499491826,3.1674705036698896,,,,,,,"not calculable: missing on-hand, inbound, lead time, shelf life, BOM/yield"
2026-09-12,2026-09-01,BKK_Ladprao,Guava,36.500093089768185,28.141633670438104,44.85855250909826,0.22899830416249398,0.0760176557135851,30.456895463918947,39.503020069021936,48.549144674124925,3.0029269792537505,,,,,,,"not calculable: missing on-hand, inbound, lead time, shelf life, BOM/yield"
2026-09-13,2026-09-01,BKK_Ladprao,Guava,44.000093089768185,33.9241463892194,54.07603979031697,0.22899830416249398,0.0760176557135851,36.71514569406495,47.620058285582445,58.524970877099946,3.6199651958142596,,,,,,,"not calculable: missing on-hand, inbound, lead time, shelf life, BOM/yield"
