month,sku,forecast_units,lower_units,upper_units,prep_target_cups,expected_waste_units
2026-09-01,Guava,6680.205637720069,5150.449875225441,8209.961400214695,7063.431446077566,383.22580835749653
2026-09-01,MixedBerryPremium,2262.8913644775603,1586.016731449524,2939.7659975055963,2836.551924500164,573.6605600226038
2026-09-01,PassionFruit,5368.046072912412,4173.581669539215,6562.510476285608,5891.080796611735,523.0347236993241
2026-09-01,Pineapple,10642.311694470802,8406.872433054265,12877.750955887337,11111.08297438981,468.77127991900886
2026-09-01,Watermelon,16446.535896737576,13306.426587706872,19586.64520576828,16997.454911283974,550.9190145463965
2026-10-01,Guava,6887.645825644071,5310.386611899698,8464.905039388444,7283.036507919988,395.3906822759167
2026-10-01,MixedBerryPremium,2341.1544099601456,1640.8697842907209,3041.4390356295703,2934.816358814235,593.6619488540897
2026-10-01,PassionFruit,5555.630942009491,4319.42631403604,6791.8355699829435,6096.603457827072,540.9725158175803
2026-10-01,Pineapple,11004.222084286495,8692.762807883093,13315.681360689896,11488.830093250597,484.6080089641024
2026-10-01,Watermelon,17015.237093295495,13766.54662574115,20263.92756084984,17585.19986726102,569.9627739655258
2026-11-01,Guava,6687.205637720069,5155.846887096304,8218.564388343833,7070.864320179847,383.65868245977776
2026-11-01,MixedBerryPremium,2277.3913644775603,1596.1795006248474,2958.603228330273,2854.8837919004945,577.4924274229343
2026-11-01,PassionFruit,5392.546072912412,4192.630081105517,6592.462064719305,5917.564512683499,525.0184397710873
2026-11-01,Pineapple,10682.811694470802,8438.865325511604,12926.758063429997,11153.280025708547,470.46833123774695
2026-11-01,Watermelon,16561.035896737576,13399.065296177674,19723.00649729748,17115.68209845967,554.6462017220963
