kitchen,sku,avg_weekly_demand_cups,weekly_std_cups,weeks_observed,first_4w_avg_cups,last_4w_avg_cups,recent_12w_trend_pct,history_weeks_observed,first_observed_week,demand_cv,recent_sold_cups,recent_waste_cups,recent_waste_cost_thb,waste_rate,forecast_3m_cups,contribution_after_waste_thb,expected_waste_3m_cups,prep_target_3m_cups,contribution_after_waste_per_cup_thb,next_7d_forecast_cups,abc_class,xyz_class,demand_pattern,planning_coverage_reference,z_value_assumption,review_period_days_assumption,demand_buffer_7d_cups_policy,planning_ceiling_next_7d_cups,waste_flag,inventory_alert,inventory_policy,inventory_alert_rank,order_qty_status,policy_basis
BKK_Sukhumvit,MixedBerryPremium,156.0,23.01382983417499,12,179.75,142.75,-0.20584144645340752,27,2026-02-23,0.14752455021907046,1150,248.0,13766.83,0.17739628040057226,1755.9678303891365,-23423.899100981616,378.67827994478756,2134.6461103339243,-13.339594664322918,135.07444849147203,C,Z,recent launch,0.95,1.65,7,37.97281922638874,173.04726771786076,above company average,RED: loss + high waste,Smaller/more frequent prep; tighten waste controls,0,"not calculable: on-hand, inbound, supplier lead time, shelf life and BOM/yield not provided","7-day ready-to-sell demand plus Z=1.65 variability buffer; capacity reference only, not physical stock, prep target or purchase order"
BKK_Ladprao,MixedBerryPremium,89.91666666666667,17.83998743035296,12,103.5,83.0,-0.19806763285024154,27,2026-02-23,0.1984057916257975,658,273.0,15120.48,0.2932330827067669,1008.9216181483023,-24948.85142746921,418.5951394445083,1427.5167575928106,-24.728235552389517,77.6093552421771,C,Z,recent launch,0.95,1.65,7,29.43597926008238,107.04533450225948,above company average,RED: loss + high waste,Smaller/more frequent prep; tighten waste controls,0,"not calculable: on-hand, inbound, supplier lead time, shelf life and BOM/yield not provided","7-day ready-to-sell demand plus Z=1.65 variability buffer; capacity reference only, not physical stock, prep target or purchase order"
Pattaya_Central,MixedBerryPremium,210.16666666666666,31.70842541698093,12,240.5,182.0,-0.2432432432432432,27,2026-02-23,0.15087276169856112,1558,348.0,19211.97,0.1825813221406086,2083.849860783814,-28716.205115022938,465.45555298637197,2549.305413770186,-13.78036184632884,160.29614313721646,C,Z,recent launch,0.95,1.65,7,52.318901938018534,212.615045075235,above company average,RED: loss + high waste,Smaller/more frequent prep; tighten waste controls,0,"not calculable: on-hand, inbound, supplier lead time, shelf life and BOM/yield not provided","7-day ready-to-sell demand plus Z=1.65 variability buffer; capacity reference only, not physical stock, prep target or purchase order"
Pattaya_Beach,MixedBerryPremium,180.58333333333334,23.581419239166536,12,195.5,169.0,-0.13554987212276215,27,2026-02-23,0.13058469352561072,1383,328.0,18079.02,0.19170075978959672,2032.6978295940132,-29614.98667275335,482.0859639239599,2514.783793517973,-14.569301074458417,156.36137150723178,C,Z,recent launch,0.95,1.65,7,38.90934174462478,195.27071325185656,above company average,RED: loss + high waste,Smaller/more frequent prep; tighten waste controls,0,"not calculable: on-hand, inbound, supplier lead time, shelf life and BOM/yield not provided","7-day ready-to-sell demand plus Z=1.65 variability buffer; capacity reference only, not physical stock, prep target or purchase order"
BKK_Ladprao,Pineapple,385.0,24.67608337862983,12,403.5,379.0,-0.060718711276332105,52,2025-09-01,0.06409372306137619,2991,207.0,3321.15,0.0647279549718574,4730.299402513717,57679.68147873348,327.3727771047605,5057.6721796184775,12.193663988389838,363.86918480874743,B,X,stable,0.95,1.65,7,40.715537574739216,404.5847223834867,above company average,AMBER: high waste,Smaller/more frequent prep; tighten waste controls,1,"not calculable: on-hand, inbound, supplier lead time, shelf life and BOM/yield not provided","7-day ready-to-sell demand plus Z=1.65 variability buffer; capacity reference only, not physical stock, prep target or purchase order"
BKK_Ladprao,Guava,235.33333333333334,26.830556980405532,12,230.5,238.25,0.033622559652928485,52,2025-09-01,0.11401086535583087,1884,155.0,2498.92,0.0760176557135851,3315.008471168905,38707.0689710312,272.731588657739,3587.740059826644,11.676310726706138,255.00065162837728,C,X,stable,0.95,1.65,7,44.27041901766913,299.2710706460464,above company average,AMBER: high waste,Smaller/more frequent prep; tighten waste controls,1,"not calculable: on-hand, inbound, supplier lead time, shelf life and BOM/yield not provided","7-day ready-to-sell demand plus Z=1.65 variability buffer; capacity reference only, not physical stock, prep target or purchase order"
Pattaya_Central,PassionFruit,420.8333333333333,24.745369937289954,12,413.0,431.0,0.04358353510895885,52,2025-09-01,0.058800879058906824,3390,300.0,10169.83,0.08130081300813008,5349.091868418193,14537.24723533234,473.3709618069198,5822.462830225113,2.717703788406091,411.46860526293796,C,X,stable,0.95,1.65,7,40.829860396528424,452.2984656594664,above company average,AMBER: high waste,Smaller/more frequent prep; tighten waste controls,1,"not calculable: on-hand, inbound, supplier lead time, shelf life and BOM/yield not provided","7-day ready-to-sell demand plus Z=1.65 variability buffer; capacity reference only, not physical stock, prep target or purchase order"
Pattaya_Beach,PassionFruit,364.25,23.93219588754864,12,368.75,364.75,-0.010847457627118695,52,2025-09-01,0.065702665442824,2891,260.0,8838.82,0.08251348778165661,4899.609212332189,13075.206973395927,440.64282089462745,5340.252033226817,2.6686224159441068,376.8930163332453,C,X,stable,0.95,1.65,7,39.48812321445526,416.38113954770057,above company average,AMBER: high waste,Smaller/more frequent prep; tighten waste controls,1,"not calculable: on-hand, inbound, supplier lead time, shelf life and BOM/yield not provided","7-day ready-to-sell demand plus Z=1.65 variability buffer; capacity reference only, not physical stock, prep target or purchase order"
BKK_Sukhumvit,PassionFruit,318.3333333333333,19.60210254647252,12,337.0,311.0,-0.0771513353115727,52,2025-09-01,0.06157728548630111,2484,226.0,7670.19,0.08339483394833948,3815.067709475393,10044.575903116844,347.1035838733649,4162.171293348758,2.632869628544041,293.46674688272253,C,X,stable,0.95,1.65,7,32.34346920167965,325.8102160844022,above company average,AMBER: high waste,Smaller/more frequent prep; tighten waste controls,1,"not calculable: on-hand, inbound, supplier lead time, shelf life and BOM/yield not provided","7-day ready-to-sell demand plus Z=1.65 variability buffer; capacity reference only, not physical stock, prep target or purchase order"
BKK_Ladprao,PassionFruit,185.25,10.86382654835428,12,187.0,186.0,-0.005347593582887722,52,2025-09-01,0.05864413791284362,1470,214.0,7274.71,0.12707838479809977,2252.454297608538,1735.130813767391,327.9083127130796,2580.362610321618,0.7703289765344421,173.26571520065679,C,X,stable,0.95,1.65,7,17.92531380478456,191.19102900544135,above company average,AMBER: high waste,Smaller/more frequent prep; tighten waste controls,1,"not calculable: on-hand, inbound, supplier lead time, shelf life and BOM/yield not provided","7-day ready-to-sell demand plus Z=1.65 variability buffer; capacity reference only, not physical stock, prep target or purchase order"
Pattaya_Central,Watermelon,1283.0,51.31010887463865,12,1321.5,1261.5,-0.04540295119182747,52,2025-09-01,0.03999229062715405,10132,300.0,4156.32,0.028757668711656442,16461.131241928284,211431.47662272258,487.4002539062857,16948.53149583457,12.844285943373302,1266.2408647637144,A,X,stable,0.95,1.65,7,84.66167964315378,1350.9025444068682,at/below company average,GREEN: stable policy,High availability; weekly rolling forecast,2,"not calculable: on-hand, inbound, supplier lead time, shelf life and BOM/yield not provided","7-day ready-to-sell demand plus Z=1.65 variability buffer; capacity reference only, not physical stock, prep target or purchase order"
Pattaya_Beach,Watermelon,1077.3333333333333,66.13668124468148,12,1108.0,1099.5,-0.00767148014440433,52,2025-09-01,0.06138924620484049,8518,263.0,3650.88,0.029951030634324107,13822.955835014474,177302.89018448288,426.7947152628326,14249.750550277307,12.826698739452148,1063.3042950011134,A,X,stable,0.95,1.65,7,109.12552405372445,1172.4298190548377,at/below company average,GREEN: stable policy,High availability; weekly rolling forecast,2,"not calculable: on-hand, inbound, supplier lead time, shelf life and BOM/yield not provided","7-day ready-to-sell demand plus Z=1.65 variability buffer; capacity reference only, not physical stock, prep target or purchase order"
BKK_Sukhumvit,Watermelon,956.9166666666666,40.75750535084601,12,971.0,970.25,-0.0007723995880535295,52,2025-09-01,0.04259253367675278,7612,229.0,3174.67,0.029205458487437826,12255.525706833378,157332.6606164827,368.69618850037364,12624.221895333752,12.837691697611788,942.7327466794907,A,X,stable,0.95,1.65,7,67.24988382889592,1009.9826305083866,at/below company average,GREEN: stable policy,High availability; weekly rolling forecast,2,"not calculable: on-hand, inbound, supplier lead time, shelf life and BOM/yield not provided","7-day ready-to-sell demand plus Z=1.65 variability buffer; capacity reference only, not physical stock, prep target or purchase order"
Pattaya_Central,Pineapple,823.25,29.292024977333437,12,820.5,819.5,-0.0012187690432663434,52,2025-09-01,0.035580959583763665,6598,259.0,4143.77,0.037771620242088376,10493.546426752426,133120.56887360825,411.9170240268078,10905.463450779234,12.685946529404816,807.1958789809559,A,X,stable,0.95,1.65,7,48.33184121260017,855.527720193556,at/below company average,GREEN: stable policy,High availability; weekly rolling forecast,2,"not calculable: on-hand, inbound, supplier lead time, shelf life and BOM/yield not provided","7-day ready-to-sell demand plus Z=1.65 variability buffer; capacity reference only, not physical stock, prep target or purchase order"
Pattaya_Beach,Pineapple,691.75,35.835799774172,12,709.75,665.25,-0.06269813314547379,52,2025-09-01,0.051804553341773765,5468,224.0,3580.94,0.03935347856640899,9003.212673570011,113961.05747271709,368.82217243593357,9372.034846005945,12.657821336072974,692.5548210438471,A,X,stable,0.95,1.65,7,59.1290696273838,751.683890671231,at/below company average,GREEN: stable policy,High availability; weekly rolling forecast,2,"not calculable: on-hand, inbound, supplier lead time, shelf life and BOM/yield not provided","7-day ready-to-sell demand plus Z=1.65 variability buffer; capacity reference only, not physical stock, prep target or purchase order"
BKK_Sukhumvit,Pineapple,648.6666666666666,36.415115076855194,12,675.25,637.5,-0.055905220288781976,52,2025-09-01,0.056138409676549636,5081,198.0,3164.24,0.03750710361810949,8102.286970391942,102823.21174882942,315.73564655335645,8418.022616945298,12.690640571554011,623.2528438763032,A,X,stable,0.95,1.65,7,60.08493987681107,683.3377837531143,at/below company average,GREEN: stable policy,High availability; weekly rolling forecast,2,"not calculable: on-hand, inbound, supplier lead time, shelf life and BOM/yield not provided","7-day ready-to-sell demand plus Z=1.65 variability buffer; capacity reference only, not physical stock, prep target or purchase order"
